,date,lon,lat,platform_type,platform_id
0,2024-05-28 12:14:26,-24.0003235,60.0002055,Ship,Discovery
1,2024-05-28 12:14:27,-24.000325,60.00020516666667,Ship,Discovery
2,2024-05-28 12:14:28,-24.000326333333334,60.00020466666667,Ship,Discovery
3,2024-05-28 12:14:29,-24.00032716666667,60.00020416666667,Ship,Discovery
4,2024-05-28 12:14:30,-24.00032716666667,60.00020416666667,Ship,Discovery
5,2024-05-28 12:14:31,-24.000326833333332,60.0002045,Ship,Discovery
6,2024-05-28 12:14:32,-24.000326833333332,60.000205,Ship,Discovery
7,2024-05-28 12:14:33,-24.000327666666667,60.000205333333334,Ship,Discovery
8,2024-05-28 12:14:34,-24.000329666666666,60.00020516666667,Ship,Discovery
9,2024-05-28 12:14:35,-24.0003315,60.000204833333335,Ship,Discovery
10,2024-05-28 12:14:36,-24.000331666666668,60.0002045,Ship,Discovery
11,2024-05-28 12:14:37,-24.00033,60.00020416666667,Ship,Discovery
12,2024-05-28 12:14:38,-24.000328,60.000203666666664,Ship,Discovery
13,2024-05-28 12:14:39,-24.000328333333332,60.0002025,Ship,Discovery
14,2024-05-28 12:14:40,-24.000331,60.00020133333334,Ship,Discovery
15,2024-05-28 12:14:41,-24.000334,60.00020083333333,Ship,Discovery
16,2024-05-28 12:14:42,-24.000335,60.0002015,Ship,Discovery
17,2024-05-28 12:14:43,-24.000334166666665,60.00020266666667,Ship,Discovery
18,2024-05-28 12:14:44,-24.000332666666665,60.00020383333333,Ship,Discovery
19,2024-05-28 12:14:45,-24.0003315,60.0002045,Ship,Discovery
20,2024-05-28 12:14:46,-24.000331,60.0002045,Ship,Discovery
21,2024-05-28 12:14:47,-24.00033133333333,60.000204,Ship,Discovery
22,2024-05-28 12:14:48,-24.000331833333334,60.000203666666664,Ship,Discovery
23,2024-05-28 12:14:49,-24.000332166666666,60.00020333333333,Ship,Discovery
24,2024-05-28 12:14:50,-24.000331666666668,60.000203166666665,Ship,Discovery
25,2024-05-28 12:14:51,-24.000330333333334,60.000203166666665,Ship,Discovery
26,2024-05-28 12:14:52,-24.000329333333333,60.000203166666665,Ship,Discovery
27,2024-05-28 12:14:53,-24.0003295,60.000203,Ship,Discovery
28,2024-05-28 12:14:54,-24.00033,60.00020283333333,Ship,Discovery
29,2024-05-28 12:14:55,-24.000330833333333,60.00020283333333,Ship,Discovery
30,2024-05-28 12:14:56,-24.000331666666668,60.00020283333333,Ship,Discovery
31,2024-05-28 12:14:57,-24.000331833333334,60.000203166666665,Ship,Discovery
32,2024-05-28 12:14:58,-24.000331,60.000203666666664,Ship,Discovery
33,2024-05-28 12:14:59,-24.000329666666666,60.000204333333336,Ship,Discovery
34,2024-05-28 12:15:00,-24.000328333333332,60.000205,Ship,Discovery
35,2024-05-28 12:15:01,-24.000328,60.0002055,Ship,Discovery
36,2024-05-28 12:15:02,-24.000328833333334,60.000205666666666,Ship,Discovery
37,2024-05-28 12:15:03,-24.000330833333333,60.0002055,Ship,Discovery
38,2024-05-28 12:15:04,-24.000332333333333,60.0002055,Ship,Discovery
39,2024-05-28 12:15:05,-24.000332,60.00020583333333,Ship,Discovery
40,2024-05-28 12:15:06,-24.000330333333334,60.000206166666665,Ship,Discovery
41,2024-05-28 12:15:07,-24.0003285,60.0002065,Ship,Discovery
42,2024-05-28 12:15:08,-24.000328,60.00020633333333,Ship,Discovery
43,2024-05-28 12:15:09,-24.000328833333334,60.00020583333333,Ship,Discovery
44,2024-05-28 12:15:10,-24.0003295,60.00020516666667,Ship,Discovery
45,2024-05-28 12:15:11,-24.000330666666667,60.00020416666667,Ship,Discovery
46,2024-05-28 12:15:12,-24.000331833333334,60.0002025,Ship,Discovery
47,2024-05-28 12:15:13,-24.000331666666668,60.00020116666666,Ship,Discovery
48,2024-05-28 12:15:14,-24.000329333333333,60.000200666666665,Ship,Discovery
49,2024-05-28 12:15:15,-24.000325666666665,60.00020116666666,Ship,Discovery
50,2024-05-28 12:15:16,-24.000323333333334,60.000202,Ship,Discovery
51,2024-05-28 12:15:17,-24.00032433333333,60.0002025,Ship,Discovery
52,2024-05-28 12:15:18,-24.00032716666667,60.00020216666667,Ship,Discovery
53,2024-05-28 12:15:19,-24.000329,60.0002015,Ship,Discovery
54,2024-05-28 12:15:20,-24.000327833333333,60.00020083333333,Ship,Discovery
55,2024-05-28 12:15:21,-24.000323666666667,60.000200666666665,Ship,Discovery
56,2024-05-28 12:15:22,-24.0003185,60.00020033333333,Ship,Discovery
57,2024-05-28 12:15:23,-24.000316166666668,60.00019966666667,Ship,Discovery
58,2024-05-28 12:15:24,-24.000318333333333,60.0001985,Ship,Discovery
59,2024-05-28 12:15:25,-24.000323666666667,60.000197,Ship,Discovery
60,2024-05-28 12:15:26,-24.000327333333335,60.00019616666667,Ship,Discovery
61,2024-05-28 12:15:27,-24.000327,60.00019616666667,Ship,Discovery
